cohort_id,field,value,cell_count
GSE315928,sample_id,E12_B,231
GSE315928,sample_id,E12_F1,1452
GSE315928,sample_id,E12_F2,1576
GSE315928,sample_id,E14_B,261
GSE315928,sample_id,E14_F1,242
GSE315928,sample_id,E15_B,657
GSE315928,sample_id,E15_F1,810
GSE315928,sample_id,E15_F2,286
GSE315928,sample_id,E16_B,638
GSE315928,sample_id,E16_F1,709
GSE315928,sample_id,E16_F2,1323
GSE315928,sample_id,E17_B,394
GSE315928,sample_id,E17_F1,537
GSE315928,sample_id,E17_F2,3167
GSE315928,sample_id,E18_B,2076
GSE315928,sample_id,E18_F1,2042
GSE315928,sample_id,E18_F2,1351
GSE315928,sample_id,E19_B,445
GSE315928,sample_id,E19_F1,324
GSE315928,sample_id,E20_B,1546
GSE315928,sample_id,E20_F1,1391
GSE315928,sample_id,E20_F2,1017
GSE315928,sample_id,E21_B,696
GSE315928,sample_id,E21_F1,1862
GSE315928,sample_id,E21_F2,853
GSE315928,sample_id,E22_B,484
GSE315928,sample_id,E22_F1,1272
GSE315928,sample_id,E22_F2,888
GSE315928,sample_id,E23_B,179
GSE315928,sample_id,E23_F1,1130
GSE315928,sample_id,E23_F2,839
GSE315928,sample_id,E24_B,293
GSE315928,sample_id,E24_F1,1159
GSE315928,sample_id,E24_F2,606
GSE315928,sample_id,E25_B,523
GSE315928,sample_id,E25_F1,144
GSE315928,sample_id,E25_F2,350
GSE315928,sample_id,E26_B,620
GSE315928,sample_id,E26_F1,740
GSE315928,sample_id,E26_F2,491
GSE315928,sample_id,E27_B,235
GSE315928,sample_id,E27_F1,1851
GSE315928,sample_id,E27_F2,15
GSE315928,sample_id,E29_B,2016
GSE315928,sample_id,E29_F1,1122
GSE315928,sample_id,E29_F2,19
GSE315928,sample_id,E30_B,950
GSE315928,sample_id,E30_F1,947
GSE315928,sample_id,E30_F2,926
GSE315928,sample_id,E31_B,1176
GSE315928,sample_id,E31_F1,322
GSE315928,sample_id,E31_F2,154
GSE315928,sample_id,E32_B,505
GSE315928,sample_id,E32_F1,272
GSE315928,sample_id,E32_F2,382
